"sentence_id";"text";"language_key";"suggested_replacement"
213;"How much does the magazine cost";"EN";""
214;"Quanto custa a revista";"PT";""
215;"पत्रिका कितने की है";"HI";""
216;"patrika kitney ki hai";"HI";""
217;"Where is the restroom";"EN";""
218;"Onde é o banheiro";"PT";""
219;"शौचालय कहाँ है";"HI";""
220;"shauchalya kahaan hai?";"HI";""
221;"Where is my gate";"EN";""
222;"Onde está o meu portão";"PT";""
223;"मेरा गेट कहाँ है";"HI";""
224;"mera get kahaan hai";"HI";""
225;"What airline am I flying";"EN";""
226;"Qual companhia aérea estou voando";"PT";""
227;"मैं किस एयरलाइन की उड़ान भर रहा हूं";"HI";""
228;"main kis eyaralain kee udaan bhar raha hoon";"HI";""
229;"What time is my flight";"EN";""
230;"A que horas é o meu voo";"PT";""
231;"मेरी फ्लाइट का समय क्या है";"HI";""
232;"meree flight ka samay kya hai";"HI";""
233;"I would like some food";"EN";""
234;"Eu gostaria de um pouco de comida";"PT";""
235;"मुझे कुछ खाना चाहिए";"HI";""
236;"mujhe kuchh khaana chaahie";"HI";""
237;"How are you";"EN";""
238;"Como você está";"PT";""
239;"क्या हाल है";"HI";""
240;"kya haal hai";"HI";""
241;"How is it going";"EN";""
242;"Como vão as coisas";"PT";""
243;"कैसा चल रहा है";"HI";""
244;"kaisa chal raha hai";"HI";""
245;"Hello";"EN";""
246;"Olá";"PT";""
247;"नमस्तेे";"HI";""
248;"namaste";"HI";""
249;"Hi";"EN";""
250;"Oi.";"PT";""
251;"नमस्तेे";"HI";""
252;"namaste";"HI";""
253;"Hey";"EN";""
254;"Ei";"PT";""
255;"अरे";"HI";""
256;"arey";"HI";""
257;"Good morning";"EN";""
258;"Bom Dia";"PT";""
259;"शुभ प्रभात";"HI";""
260;"shubh prabhaat";"HI";""
261;"Good afternoon";"EN";""
262;"Boa tarde";"PT";""
263;"नमस्कार";"HI";""
264;"namaskaar";"HI";""
265;"Good evening";"EN";""
266;"Boa noite";"PT";""
267;"सुसंध्या";"HI";""
268;"susandhya";"HI";""
269;"Good night";"EN";""
270;"Boa noite";"PT";""
271;"शुभ रात्रिूं";"HI";""
272;"shubh raatri";"HI";""
273;"I love the feeling of fingers running through my hair";"EN";""
274;"Eu adoro Cafuné";"PT";""
275;"मुझे अपने बालों में उंगलियां चलाने का एहसास बहुत पसंद है";"HI";""
276;"mujhe apane baalon mein ungaliyaan chalaane ka ehasaas bahut pasand hai";"HI";""
277;"You hit one out of the park";"EN";""
278;"Você foi ótimo";"PT";""
279;"तुमने बहुत अच्छा किया";"HI";""
280;"tumne bahut achchha kiya";"HI";""
281;"You did great";"EN";""
282;"Você foi ótimo";"PT";""
283;"तुमने बहुत अच्छा किया";"HI";""
284;"tumne bahut achchha kiya";"HI";""
285;"Where is tourist information";"EN";""
286;"Onde está a informação turística";"PT";""
287;"पर्यटकों की जानकारी कहां हैै";"HI";""
288;"paryatakon kee jaanakaaree kahaan hai";"HI";""
289;"Where can I get my baggage";"EN";""
290;"Onde posso obter a minha bagagem";"PT";""
291;"मुझे अपना सामान कहां पर मिलेगा";"HI";""
292;"mujhe apana saamaan kahaan par milega";"HI";""
293;"I have to catch a connecting flight";"EN";""
294;"Eu tenho que pegar um vôo de conexão";"PT";""
295;"मुझे कनेक्टिंग फ्लाइट पकड़नी है";"HI";""
296;"mujhe kanekting phlait pakadanee hai";"HI";""
297;"Which way is that";"EN";""
298;"Qual é o caminho";"PT";""
299;"कौन सा तरीका है";"HI";""
300;"kaun sa tareeka hai";"HI";""
301;"I just missed my connecting flight";"EN";""
302;"Eu perdi meu voo de conexão";"PT";""
303;"मेरी कनेक्टिंग फ्लाइट छूट गयी ";"HI";""
304;"meri connecting flight chhut gayi";"HI";""
305;"Excuse me, Where is this boarding gate";"EN";""
306;"Com licença, onde está esse portão de embarque";"PT";""
307;"माफ कीजिए, यह बोर्डिंग गेट कहां है";"HI";""
308;"maaph keejie, yah bording get kahaan hai";"HI";""
309;"Can you recommend a hotel";"EN";""
310;"Você pode recomendar um hotel";"PT";""
311;"क्या आप होटल की सिफारिश कर सकते हैं";"HI";""
312;"kya aap hotal kee siphaarish kar sakate hain";"HI";""
313;"Is there a smoking area";"EN";""
314;"Existe uma área para fumantes";"PT";""
315;"क्या कोई धूम्रपान क्षेत्र है";"HI";""
316;"kya koee dhoomrapaan kshetr hai";"HI";""
317;"Is there a bus to the city";"EN";""
318;"Existe um ônibus para a cidade";"PT";""
319;"क्या शहर के लिए कोई बस है";"HI";""
320;"kya shahar ke liye koi bas hai?";"HI";""
321;"Where is the taxi stand";"EN";""
322;"Onde fica o ponto de táxi";"PT";""
323;"टैक्सी स्टैंड कहां है";"HI";""
324;"taiksee staind kahaan hai?";"HI";""
325;"Could you recommend a hotel in downtown";"EN";""
326;"Você poderia recomendar um hotel no centro da cidade";"PT";""
327;"आप शहर में एक अच्छा होटल बता सकते है";"HI";""
328;"aap shahar mein ek achchha hotel bata sakate hain?";"HI";""
329;"How much does it cost to take a taxi to this address";"EN";""
330;"Quanto custa pegar um táxi para esse endereço";"PT";""
331;"इस पते पर टैक्सी लेने में कितना खर्च होता है";"HI";""
332;"is pate par taiksee lene mein kitana kharch hota hai";"HI";""
333;"Take me to this address, please";"EN";""
334;"Leve-me até este endereço por favor";"PT";""
335;"कृपया मुझे इस पते पर ले चलिए";"HI";""
336;"krpaya mujhe is pate par le chalie";"HI";""
337;"Hilton hotel, please";"EN";""
338;"Hotel Hilton, por favor";"PT";""
339;"कृपया हिल्टन होटल चलिए";"HI";""
340;"krpaya hiltan hotal chalie";"HI";""
341;"Let me off here";"EN";""
342;"Me deixe sair daqui";"PT";""
343;"मुझे यहाँ छोड़ दोै";"HI";""
344;"mujhe yahaan chhod do";"HI";""
345;"Anywhere around here is fine";"EN";""
346;"Qualquer lugar por aqui está bem";"PT";""
347;"यहां आसपास कहीं भी ठीक है";"HI";""
348;"yahaan aasapaas kaheen bhee theek hai";"HI";""
349;"Keep the change";"EN";""
350;"Fique com o troco";"PT";""
351;"छुट्टे रख लो";"HI";""
352;"chhutte rakh lo";"HI";""
353;"I would like to book a room";"EN";""
354;"Eu gostaria de reservar um quarto";"PT";""
355;"मैं एक कमरा बुक करना चाहूंगा";"HI";""
356;"main ek kamara buk karana chaahoonga";"HI";""
357;"I’d like a single room";"EN";""
358;"Gostaria de um quarto individual";"PT";""
359;"मुझे एक सिंगल कमरा चाहिएूै";"HI";""
360;"mujhe ek singal kamara chaahie";"HI";""
361;"I’d like to book a double room for 3 nights";"EN";""
362;"Eu gostaria de reservar um quarto duplo por 3 noites";"PT";""
363;"मैं 3 रातों के लिए एक डबल कमरा बुक करना चाहता हूँ";"HI";""
364;"main 3 raaton ke lie ek dabal kamara buk karana chaahata hoon";"HI";""
365;"How much is a double room per night";"EN";""
366;"Quanto custa um quarto duplo por noite";"PT";""
367;"प्रति रात एक डबल कमरे का कितना है";"HI";""
368;"prati raat ek dabal kamarey ka kitana hai?";"HI";""
369;"I’d like a room with a nice view";"EN";""
370;"Eu gostaria de um quarto com uma bela vista";"PT";""
371;"मुझे एक अच्छे नज़ारा वाला कमरा चाहिए";"HI";""
372;"mujhe ek achchhe nazarey wala kamara chaahie";"HI";""
373;"Can I have an extra bed for my room";"EN";""
374;"Posso ter uma cama extra no meu quarto";"PT";""
375;"क्या मुझे अपने कमरे के लिए एक अतिरिक्त बिस्तर मिल सकता है";"HI";""
376;"kya mujhe apane kamare ke lie ek atirikt bistar mil sakata hai";"HI";""
377;"I’m arriving late. Please keep my reservation";"EN";""
378;"Estou chegando atrasado. Por favor, mantenha minha reserva";"PT";""
379;"मैं देर से पहुँच रहा हूँ कृपया मेरा  रिजर्वेशन रखें।";"HI";""
380;"main der se pahunch raha hoon krpaya mera reservation rakhen.";"HI";""
381;"When does the dining-room open";"EN";""
382;"Quando a sala de jantar abre";"PT";""
383;"भोजन कक्ष कब खुलता है?";"HI";""
384;"bhojan kaksh kab khulata hai";"HI";""
385;"When is breakfast served";"EN";""
386;"Quando o café da manhã será servido";"PT";""
387;"नाश्ता कब पेश किया जाता है";"HI";""
388;"naashta kab pesh kiya jaata hai";"HI";""
389;"Where can I keep my valuables";"EN";""
390;"Onde posso guardar meus objetos de valor";"PT";""
391;"मैं अपना कीमती सामान कहाँ रख सकता हूँ";"HI";""
392;"main apana keematee saamaan kahaan rakh sakata hoon?";"HI";""
393;"I’d like to order room service, please";"EN";""
394;"Eu gostaria de pedir serviço de quarto, por favor";"PT";""
395;"क्यमुझे रूम सर्विस ऑर्डर करना है, कृपया";"HI";""
396;"mujhe room sarvis ordar karana hai, krpaya";"HI";""
397;"I would like to have a wake-up call at 5:30";"EN";""
398;"Eu gostaria de ter uma chamada de despertar às 5:30";"PT";""
399;"मैं 5:30 बजे उठना चाहूंगा";"HI";""
400;"main 5:30 baje uthana chaahoonga";"HI";""
401;"What is the check-out time at this hotel";"EN";""
402;"Qual é o horário do check-out neste hotel";"PT";""
403;"इस होटल में चेक-आउट का समय क्या है";"HI";""
404;"is hotal mein chek-aaut ka samay kya hai";"HI";""
405;"Do you have a bus service to and from the airport";"EN";""
406;"Você tem um serviço de ônibus para o aeroporto";"PT";""
407;"क्या आपके पास हवाई अड्डे से जाने और आने के लिए बस सेवा है";"HI";""
408;"kya aapake paas havaee adde se jaane aur aane ke lie bas seva hai";"HI";""
409;"Could you show me my room";"EN";""
410;"Você poderia me mostrar o meu quarto";"PT";""
411;"क्या आप मुझे मेरा कमरा दिखा सकते हैैं";"HI";""
412;"kya aap mujhe mera kamara dikha sakate hain?";"HI";""
413;"Where is the elevator";"EN";""
414;"Onde fica o elevador";"PT";""
415;"लिफ्ट कहाँ हैै";"HI";""
416;"lipht kahaan hai";"HI";""
417;"Where is the emergency exit";"EN";""
418;"Onde é a saída de emergência";"PT";""
419;"आपातकालीन निकास कहां पर हैै";"HI";""
420;"aapaatakaaleen nikaas kahaan par hai";"HI";""
421;"The bed sheets are dirty";"EN";""
422;"Os lençóis da cama são sujos";"PT";""
423;"बिस्तर की चादरें गंदी हैै";"HI";""
424;"bistar kee chaadaren gandee hain";"HI";""
425;"There is no hot water in my room";"EN";""
426;"Não há água quente no meu quarto";"PT";""
427;"मेरे कमरे में गर्म पानी नहीं हैूं";"HI";""
428;"mere kamare mein garm paanee nahin hai";"HI";""
429;"Where can I get some ice";"EN";""
430;"Onde posso obter gelo";"PT";""
431;"मुझे कुछ बर्फ कहां मिल सकती है";"HI";""
432;"mujhe kuchh barph kahaan mil sakatee hai";"HI";""
433;"The air conditioner is not working";"EN";""
434;"O ar condicionado não está funcionando";"PT";""
435;"एयर कंडीशनर काम नहीं कर रहा है";"HI";""
436;"eyar kandeeshanar kaam nahin kar raha hai";"HI";""
437;"I would like to check out";"EN";""
438;"Gostaria de fazer check-out";"PT";""
439;"मुझे चेक आउट करना है";"HI";""
440;"mujhe chek aaut karana hai";"HI";""
441;"May I try this on";"EN";""
442;"Posso experimentar isso";"PT";""
443;"क्या मैं इसे पहन कर देख सकता हूं";"HI";""
444;"kya main ise pehen kar dekh sakata hoon";"HI";""
445;"Can I pay by credit card";"EN";""
446;"Posso pagar com cartão de crédito";"PT";""
447;"क्या हम क्रेडिट कार्ड द्वारा भुगतान कर सकते हैं";"HI";""
448;"kya ham kredit kaard dvaara bhugataan kar sakate hain";"HI";""
449;"It’s too expensive";"EN";""
450;"É muito caro";"PT";""
451;"यह बहुत महंगा है";"HI";""
452;"yah bahut mahanga hai";"HI";""
453;"Is this your final price";"EN";""
454;"Este é o seu preço final";"PT";""
455;"क्या यह आपकी अंतिम कीमत है";"HI";""
456;"kya yah aapakee antim keemat hai";"HI";""
457;"I’ll take this one";"EN";""
458;"Eu vou pegar esse aqui";"PT";""
459;"मैं इसे लेना चाहता हूँ";"HI";""
460;"main ise lena chaahata hun";"HI";""
461;"Where is the cashier";"EN";""
462;"Onde está o caixa";"PT";""
463;"कैशियर कहाँ है";"HI";""
464;"kaishiyar kahaan hai";"HI";""
465;"Where can I change money";"EN";""
466;"Onde posso trocar dinheiro";"PT";""
467;"मैं पैसों का विनिमय कहां कर सकता हूं";"HI";""
468;"main paison ka vinimay kahaan kar sakata hoon";"HI";""
469;"Is there an ATM machine around here";"EN";""
470;"Existe um caixa eletrônico por aqui";"PT";""
471;"क्या आस पास एटीएम मशीन है";"HI";""
472;"kya aas paas ATM masheen hai?";"HI";""
473;"Are you sure";"EN";""
474;"Você tem certeza";"PT";""
475;"क्या आपको यकीन है";"HI";""
476;"kya aapako yakeen hai";"HI";""
477;"Are you used to the weather";"EN";""
478;"Você está acostumado com o clima";"PT";""
479;"क्या आप मौसम के अभ्यस्त हैं";"HI";""
480;"kya aap mausam ke abhyast hain?";"HI";""
481;"As far as I am concerned";"EN";""
482;"Tanto quanto eu estou preocupado";"PT";""
483;"जहाँ तक मेरा संबंध है";"HI";""
484;"jahaan tak mera sambandh hai";"HI";""
485;"Be careful with that";"EN";""
486;"Tenha cuidado com isso";"PT";""
487;"उससे सावधान रहें";"HI";""
488;"usase saavadhaan rahen";"HI";""
489;"By the way";"EN";""
490;"A propósito";"PT";""
491;"वैसे";"HI";""
492;"vaise";"HI";""
493;"Don’t worry";"EN";""
494;"Não se preocupe";"PT";""
495;"चिंता मत करो";"HI";""
496;"chinta mat karo";"HI";""
497;"Don’t panic";"EN";""
498;"Não entre em pânico";"PT";""
499;"घबराओ मत";"HI";""
500;"ghabarao mat";"HI";""
501;"Do you agree";"EN";""
502;"Você concorda";"PT";""
503;"क्या आप सहमत हैं";"HI";""
504;"kya aap sahamat hain";"HI";""
505;"Do you carry this in different sizes";"EN";""
506;"Você carrega isso em tamanhos diferentes";"PT";""
507;"क्या आपके पास इसके और साइज हैं ं";"HI";""
508;"kya aapke paas eske aur sizes hain";"HI";""
509;"Do you mind";"EN";""
510;"Você se importa";"PT";""
511;"अगर आपको परेशानी ना हो तो";"HI";""
512;"agar aapako pareshaanee na ho to";"HI";""
513;"Should we";"EN";""
514;"Nós deveríamos";"PT";""
515;"क्या हमेै";"HI";""
516;"kya hamen";"HI";""
517;"Help yourself";"EN";""
518;"Fique a vontade";"PT";""
519;"अपनी सहायता कीजिये";"HI";""
520;"apanee sahaayata keejiye";"HI";""
521;"How about you";"EN";""
522;"E quanto a você";"PT";""
523;"आप कैसे हैं";"HI";""
524;"aap kaise hain";"HI";""
525;"How come";"EN";""
526;"Por quê";"PT";""
527;"ऐसा कैसे";"HI";""
528;"aisa kaise";"HI";""
529;"How do you like it";"EN";""
530;"Como é que você gosta?";"PT";""
531;"तुम्हे यह कैसा लगा";"HI";""
532;"tumhe yah kaisa laga";"HI";""
533;"How long does it take";"EN";""
534;"Quanto tempo leva";"PT";""
535;"इसमें कितना समय लगता है";"HI";""
536;"isamen kitana samay lagata hai";"HI";""
537;"How often";"EN";""
538;"Com que frequência";"PT";""
539;"कितनी बार";"HI";""
540;"kitanee baar";"HI";""
541;"I bet";"EN";""
542;"Eu aposto";"PT";""
543;"मै शर्त लगाता होै";"HI";""
544;"mai shart lagaata hu";"HI";""
545;"I can hardly believe that";"EN";""
546;"Eu mal posso acreditar nisso";"PT";""
547;"मुझे शायद ही इस बात पर यकीन होै";"HI";""
548;"mujhe shaayad hee is baat par yakeen ho";"HI";""
549;"I can’t help";"EN";""
550;"Não posso ajudar";"PT";""
551;"मैं मदद नहीं कर सकता";"HI";""
552;"main madad nahin kar sakata";"HI";""
553;"I can’t say";"EN";""
554;"Eu não posso dizer";"PT";""
555;"मुझे नहीं पताा";"HI";""
556;"mujhe nahi pata";"HI";""
557;"I cannot wait";"EN";""
558;"Eu não posso esperar";"PT";""
559;"मैं इंतज़ार नहीं कर सकता";"HI";""
560;"main intazaar nahin kar sakata";"HI";""
561;"I have no idea";"EN";""
562;"Eu não faço ideia";"PT";""
563;"मुझे पता नहीं है";"HI";""
564;"mujhe pata nahin hai";"HI";""
565;"I have got to go.";"EN";""
566;"Eu tenho que ir";"PT";""
567;"पमुझे जाना होगा";"HI";""
568;"mujhe jaana hoga";"HI";""
569;"I’ll let you know";"EN";""
570;"Eu aviso você";"PT";""
571;"मैं आपको बता दूँगा।";"HI";""
572;"main aapako bata doonga";"HI";""
573;"I’d be grateful";"EN";""
574;"Eu ficaria grato";"PT";""
575;"मैं आभारी रहूँगा";"HI";""
576;"main aabhaaree rahoonga";"HI";""
577;"I’m afraid";"EN";""
578;"Estou com medo";"PT";""
579;"मुझे डर लग रहा है";"HI";""
580;"mujhe dar lag raha hai";"HI";""
581;"I’m looking forward to it";"EN";""
582;"Estou ansioso para isso";"PT";""
583;"मैं इसकी राह देख रहा हूं";"HI";""
584;"main isakee raah dekh raha hoon";"HI";""
585;"I’m not really happy with that";"EN";""
586;"Eu não estou muito feliz com isso";"PT";""
587;"मैं वास्तव में इससे खुश नहीं हूं";"HI";""
588;"main vaastav mein isase khush nahin hoon";"HI";""
589;"It’s my fault";"EN";""
590;"É minha culpa";"PT";""
591;"यह मेरी गलती है";"HI";""
592;"yah meree galatee hai";"HI";""
593;"It’s on the tip of my tongue";"EN";""
594;"Está na ponta da língua";"PT";""
595;"यह मुझे जबानी याद है";"HI";""
596;"yah mujhe jabaanee yaad hai";"HI";""
597;"It’s up to you";"EN";""
598;"Você decide";"PT";""
599;"यह आप पर निर्भर करता हैा";"HI";""
600;"yah aap par nirbhar karata hai";"HI";""
601;"It’s your turn";"EN";""
602;"É sua vez";"PT";""
603;"यह आपकी बारी है";"HI";""
604;"yah aapakee baaree hai";"HI";""
605;"It may surprise you";"EN";""
606;"Pode te surpreender";"PT";""
607;"यह आपको आश्चर्यचकित कर सकता हैै";"HI";""
608;"yah aapako aashcharyachakit kar sakata hai";"HI";""
609;"I’ve had enough";"EN";""
610;"Eu já tive o suficient";"PT";""
